Format,Matches,Innings,Balls,Runs,Maidens,Wickets,Avg,Eco,SR,BBI,BBM,4w,5w,10w,player_name,Country
Test,6,11,1864,920,53,45,20.44,2.96,41.42,Jul-66,11/104,2,5,3,Rashid Khan,Afghanistan
ODI,114,106,5741,4060,35,199,20.4,4.24,28.85,18-Jul,18-Jul,6,5,0,Rashid Khan,Afghanistan
T20,96,96,2192,2222,1,161,13.8,6.08,13.61,3-May,3-May,8,2,0,Rashid Khan,Afghanistan
IPL,122,122,2883,3300,4,150,22.0,6.87,19.22,24-Apr,24-Apr,2,0,0,Rashid Khan,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Samiullah Shinwari,Afghanistan
ODI,84,65,2111,1729,10,45,38.42,4.91,46.91,Apr-31,Apr-31,1,0,0,Samiullah Shinwari,Afghanistan
T20,64,38,634,688,0,28,24.57,6.51,22.64,13-May,13-May,1,1,0,Samiullah Shinwari,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Samiullah Shinwari,Afghanistan
Test,16,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Eoin Morgan,England
ODI,248,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Eoin Morgan,England
T20,115,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Eoin Morgan,England
IPL,83,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Eoin Morgan,England
Test,152,156,5851,3221,158,71,45.37,3.3,82.41,5/8,5/33,2,1,0,Joe Root,England
ODI,177,77,1755,1731,2,28,61.82,5.92,62.68,3/52,3/52,0,0,0,Joe Root,England
T20,32,9,84,139,0,6,23.17,9.93,14.0,2/9,2/9,0,0,0,Joe Root,England
IPL,3,1,12,14,0,0,0.0,7.0,0.0,0/14,0/14,0,0,0,Joe Root,England
Test,5,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jason Roy,England
ODI,116,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jason Roy,England
T20,64,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jason Roy,England
IPL,21,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jason Roy,England
Test,22,8,222,131,4,2,65.5,3.54,111.0,2/33,2/33,0,0,0,Dawid Malan,England
ODI,30,2,15,17,0,1,17.0,6.8,15.0,1/5,1/5,0,0,0,Dawid Malan,England
T20,62,1,12,27,0,1,27.0,13.5,12.0,1/27,1/27,0,0,0,Dawid Malan,England
IPL,1,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Dawid Malan,England
Test,68,119,12610,7612,292,204,37.31,3.62,61.81,6/53,10/112,13,5,1,Moeen Ali,England
ODI,138,128,5988,5311,13,111,47.85,5.32,53.95,4/46,4/46,2,0,0,Moeen Ali,England
T20,92,71,999,1384,1,51,27.14,8.31,19.59,3/24,3/24,0,0,0,Moeen Ali,England
IPL,67,52,758,893,0,35,25.51,7.07,21.66,4/26,4/26,1,0,0,Moeen Ali,England
Test,110,160,12252,6798,359,210,32.37,3.33,58.34,6/22,8/161,8,4,0,Ben Stokes,England
ODI,114,88,3110,3137,8,74,42.39,6.05,42.03,5/61,5/61,1,1,0,Ben Stokes,England
T20,43,36,612,856,1,26,32.92,8.39,23.54,3/26,3/26,0,0,0,Ben Stokes,England
IPL,45,38,689,992,2,28,35.43,8.64,24.61,3/15,3/15,0,0,0,Ben Stokes,England
Test,1,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Liam Livingstone,England
ODI,39,31,968,982,2,25,39.28,6.09,38.72,3/16,3/16,0,0,0,Liam Livingstone,England
